Ticker,Industry,Sector-Code
HPE US Equity,Technology,7
HPQ US Equity,Technology,7
HRL US Equity,"Consumer, Non-cyclical",3
HSIC US Equity,"Consumer, Non-cyclical",3
HST US Equity,Financial,5
HSY US Equity,"Consumer, Non-cyclical",3
HUBB US Equity,Industrial,6
HUM US Equity,"Consumer, Non-cyclical",3
HWM US Equity,Industrial,6
IBM US Equity,Technology,7
ICE US Equity,Financial,5
IDXX US Equity,"Consumer, Non-cyclical",3
IEX US Equity,Industrial,6
IFF US Equity,Basic Materials,0
INCY US Equity,"Consumer, Non-cyclical",3
INTC US Equity,Technology,7
INTU US Equity,Technology,7
INVH US Equity,Financial,5
IP US Equity,Basic Materials,0
IPG US Equity,Communications,1
IQV US Equity,"Consumer, Non-cyclical",3
IR US Equity,Industrial,6
IRM US Equity,Financial,5
ISRG US Equity,"Consumer, Non-cyclical",3
IT US Equity,Technology,7
ITW US Equity,Industrial,6
IVZ US Equity,Financial,5
J US Equity,Industrial,6
JBHT US Equity,Industrial,6
JBL US Equity,Industrial,6
JCI US Equity,Industrial,6
JKHY US Equity,Technology,7
JNJ US Equity,"Consumer, Non-cyclical",3
JNPR US Equity,Communications,1
JPM US Equity,Financial,5
K US Equity,"Consumer, Non-cyclical",3
KDP US Equity,"Consumer, Non-cyclical",3
KEY US Equity,Financial,5
KEYS US Equity,Industrial,6
KHC US Equity,"Consumer, Non-cyclical",3
KIM US Equity,Financial,5
KKR US Equity,Financial,5
KLAC US Equity,Technology,7
KMB US Equity,"Consumer, Non-cyclical",3
KMI US Equity,Energy,4
KMX US Equity,"Consumer, Cyclical",2
KO US Equity,"Consumer, Non-cyclical",3
KR US Equity,"Consumer, Non-cyclical",3
KVUE US Equity,"Consumer, Non-cyclical",3
L US Equity,Financial,5
LDOS US Equity,Technology,7
LEN US Equity,"Consumer, Cyclical",2
LH US Equity,"Consumer, Non-cyclical",3
LHX US Equity,Industrial,6
LII US Equity,Industrial,6
LIN US Equity,Basic Materials,0
LKQ US Equity,"Consumer, Cyclical",2
LLY US Equity,"Consumer, Non-cyclical",3
LMT US Equity,Industrial,6
LNT US Equity,Utilities,8
LOW US Equity,"Consumer, Cyclical",2
LRCX US Equity,Technology,7
LULU US Equity,"Consumer, Cyclical",2
LUV US Equity,"Consumer, Cyclical",2
LVS US Equity,"Consumer, Cyclical",2
LW US Equity,"Consumer, Non-cyclical",3
LYB US Equity,Basic Materials,0
LYV US Equity,"Consumer, Cyclical",2
MA US Equity,Financial,5
MAA US Equity,Financial,5
MAR US Equity,"Consumer, Cyclical",2
MAS US Equity,Industrial,6
MCD US Equity,"Consumer, Cyclical",2
MCHP US Equity,Technology,7
MCK US Equity,"Consumer, Non-cyclical",3
MCO US Equity,"Consumer, Non-cyclical",3
MDLZ US Equity,"Consumer, Non-cyclical",3
MDT US Equity,"Consumer, Non-cyclical",3
MET US Equity,Financial,5
META US Equity,Communications,1
MGM US Equity,"Consumer, Cyclical",2
MHK US Equity,Industrial,6
MKC US Equity,"Consumer, Non-cyclical",3
MKTX US Equity,"Consumer, Non-cyclical",3
MLM US Equity,Industrial,6
MMC US Equity,Financial,5
MMM US Equity,Industrial,6
MNST US Equity,"Consumer, Non-cyclical",3
MO US Equity,"Consumer, Non-cyclical",3
